subject,num_trials,num_channels,all_channels_acc,all_channels_std,method,k,accuracy,std,retention,baseline_acc
S005,,,,,Mutual Information,25.0,0.7857142857142857,0.0,102.59067357512954,0.7658730158730158
S006,,,,,EEGNet (Spatial Weights),10.0,0.8611111111111112,0.05952380952380948,95.17543859649125,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),15.0,0.8095238095238095,0.031746031746031744,89.47368421052633,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),20.0,0.8611111111111112,0.05952380952380948,95.17543859649125,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),25.0,0.8571428571428572,0.02380952380952378,94.73684210526318,0.9047619047619047
S006,,,,,FBCNet (Spatial Weights),10.0,0.8253968253968254,0.03968253968253971,96.74418604651163,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),15.0,0.876984126984127,0.003968253968253954,102.79069767441862,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),20.0,0.8888888888888888,0.007936507936507964,104.18604651162791,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),25.0,0.8888888888888888,0.007936507936507964,104.18604651162791,0.8531746031746031
S006,,,,,Pure CNN (Ablation),10.0,0.6785714285714286,0.003968253968253954,100.0,0.6785714285714286
S006,,,,,Pure CNN (Ablation),15.0,0.6587301587301587,0.0,97.07602339181285,0.6785714285714286
S006,,,,,Pure CNN (Ablation),20.0,0.6746031746031746,0.007936507936507964,99.41520467836258,0.6785714285714286
S006,,,,,Pure CNN (Ablation),25.0,0.6626984126984127,0.003968253968253954,97.66081871345028,0.6785714285714286
S006,,,,,CSP (Pattern Weights),10.0,0.6428571428571428,0.02380952380952378,97.59036144578313,0.6587301587301587
S006,,,,,CSP (Pattern Weights),15.0,0.6468253968253967,0.019841269841269826,98.19277108433734,0.6587301587301587
S006,,,,,CSP (Pattern Weights),20.0,0.6507936507936508,0.023809523809523836,98.79518072289157,0.6587301587301587
S006,,,,,CSP (Pattern Weights),25.0,0.623015873015873,0.02777777777777779,94.57831325301204,0.6587301587301587
S006,,,,,Mutual Information,10.0,0.8095238095238095,0.047619047619047616,90.66666666666667,0.8928571428571428
S006,,,,,Mutual Information,15.0,0.8650793650793651,0.02380952380952378,96.8888888888889,0.8928571428571428
S006,,,,,Mutual Information,20.0,0.8492063492063492,0.007936507936507908,95.11111111111111,0.8928571428571428
S006,,,,,Mutual Information,25.0,0.7936507936507937,0.047619047619047616,88.8888888888889,0.8928571428571428
S007,,,,,EEGNet (Spatial Weights),10.0,0.9365079365079365,0.007936507936507908,103.50877192982455,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),15.0,0.9126984126984127,0.007936507936507908,100.87719298245614,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),20.0,0.9325396825396826,0.011904761904761918,103.0701754385965,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),25.0,0.9126984126984128,0.015873015873015872,100.87719298245614,0.9047619047619048
S007,,,,,FBCNet (Spatial Weights),10.0,0.9246031746031746,0.027777777777777735,98.72881355932203,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),15.0,0.9246031746031746,0.019841269841269826,98.72881355932203,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),20.0,0.9087301587301587,0.019841269841269882,97.03389830508475,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),25.0,0.9166666666666666,0.003968253968253954,97.88135593220339,0.9365079365079365
S007,,,,,Pure CNN (Ablation),10.0,0.8055555555555556,0.059523809523809534,107.40740740740742,0.75
S007,,,,,Pure CNN (Ablation),15.0,0.7976190476190477,0.0674603174603175,106.34920634920636,0.75
S007,,,,,Pure CNN (Ablation),20.0,0.7976190476190477,0.05952380952380948,106.34920634920636,0.75
S007,,,,,Pure CNN (Ablation),25.0,0.7857142857142857,0.03968253968253965,104.76190476190477,0.75
S007,,,,,CSP (Pattern Weights),10.0,0.6904761904761905,0.031746031746031744,99.42857142857143,0.6944444444444444
S007,,,,,CSP (Pattern Weights),15.0,0.6865079365079365,0.02777777777777779,98.85714285714286,0.6944444444444444
S007,,,,,CSP (Pattern Weights),20.0,0.6825396825396826,0.023809523809523836,98.28571428571429,0.6944444444444444
S007,,,,,CSP (Pattern Weights),25.0,0.6904761904761905,0.031746031746031744,99.42857142857143,0.6944444444444444
S007,,,,,Mutual Information,10.0,0.8571428571428571,0.031746031746031744,95.15418502202643,0.9007936507936508
S007,,,,,Mutual Information,15.0,0.8690476190476191,0.003968253968253954,96.47577092511013,0.9007936507936508
S007,,,,,Mutual Information,20.0,0.9007936507936507,0.011904761904761918,99.99999999999999,0.9007936507936508
S007,,,,,Mutual Information,25.0,0.9126984126984127,0.03968253968253965,101.32158590308369,0.9007936507936508
