subject,method,k,num_selected,selected_channels,accuracy_full
S002,AS,10,10,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'F2', 'P2', 'P6', 'P8', 'O1']",0.7705772113943028
S002,AS,15,15,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af4', 'F2', 'Ft7', 'T9', 'P2', 'P6', 'P8', 'O1']",0.7705772113943028
S002,AS,20,20,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Af4', 'F2', 'F6', 'Ft7', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'O1', 'Oz']",0.7705772113943028
S002,AS,25,25,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Afz', 'Af4', 'F7', 'F2', 'F6', 'Ft7', 'T8', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'Po8', 'O1', 'Oz', 'Iz']",0.7705772113943028
S002,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7705772113943028
S005,ES,10,17,"['Fc5', 'Fc3', 'Fc2', 'Fc6', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af8', 'F1', 'F2', 'Ft7', 'T9', 'P8', 'Po4']",0.8492063492063492
S005,ES,15,23,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C3', 'C1', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af8', 'F1', 'F2', 'Ft7', 'T8', 'T9', 'P8', 'Poz', 'Po4']",0.8492063492063492
S005,ES,20,29,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C3', 'C1', 'C4', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F3', 'F1', 'F2', 'Ft7', 'T7', 'T8', 'T9', 'Pz', 'P8', 'Poz', 'Po4', 'Oz']",0.8492063492063492
S005,ES,25,35,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C4', 'C6', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F3', 'F1', 'F2', 'F4', 'Ft7', 'T7', 'T8', 'T9', 'Pz', 'P2', 'P8', 'Poz', 'Po4', 'O1', 'Oz']",0.8492063492063492
S005,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.8492063492063492
S005,AS,10,10,"['Fc5', 'Fcz', 'C5', 'C3', 'Cp3', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.8492063492063492
S005,AS,15,15,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C4', 'Cp3', 'Fpz', 'Af8', 'F2', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.8492063492063492
S005,AS,20,20,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'P7', 'P1', 'Po7', 'Poz', 'Po4']",0.8492063492063492
S005,AS,25,25,"['Fc5', 'Fc1', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Cp2', 'Cp4', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'Tp8', 'P7', 'P1', 'P2', 'Po7', 'Poz', 'Po4']",0.8492063492063492
