subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity
S001,252,64,0.8253968253968255,0.005611958580845648,0.8173684210526315,0.040693435326479364,0.6190476190476191,0.044543540318737425,0.7020551764128641,0.015403612100153261,0.8107993197278911,0.03193590469084006,0.9285714285714285,0.025253813613805232
S002,252,64,0.6746031746031745,0.022447834323382435,0.658008658008658,0.24648728736773612,0.23809523809523805,0.1467717619754518,0.2996825396825396,0.14187031292377714,0.6213860544217686,0.06003109274850935,0.8928571428571428,0.07715167498104597
S005,252,64,0.7857142857142857,0.0350466701044756,0.8273967747651958,0.10158332118289905,0.46428571428571425,0.08748177652797064,0.5872213920317528,0.07842354995477371,0.8112244897959183,0.03613695469536693,0.9464285714285715,0.03857583749052294
S006,252,64,0.746031746031746,0.01122391716169119,0.8055555555555555,0.14163943093313294,0.35714285714285715,0.10101525445522107,0.4733782841199721,0.08571047350081883,0.7281037414965986,0.01820552216497161,0.9404761904761906,0.044543540318737376
S007,252,64,0.873015873015873,0.040468408838037984,0.8703463203463203,0.03700096004694634,0.7261904761904763,0.11785113019775792,0.7876190476190477,0.07541570356809782,0.9136904761904762,0.03326259544413966,0.9464285714285715,0.0145802960879951
S008,252,64,0.8650793650793651,0.022447834323382432,0.871031746031746,0.09200018348706057,0.7142857142857144,0.07715167498104593,0.7782688326166586,0.03713852286213395,0.9141156462585034,0.016827820941465385,0.9404761904761904,0.04208968935634212
S011,252,64,0.7063492063492064,0.02805979290422808,0.41687552213868,0.29481989899617106,0.2976190476190476,0.21095291841273034,0.34708351425676653,0.24556053434481398,0.6549744897959183,0.026709683152260077,0.9107142857142857,0.0635540372144721
S014,252,64,0.6785714285714285,0.00972019739199675,0.6666666666666666,0.4714045207910317,0.03571428571428571,0.029160592175990215,0.06743295019157088,0.05444389170369843,0.6770833333333334,0.06735155536296641,1.0,0.0
S015,252,64,0.8571428571428572,0.016835875742536838,0.8160620741265903,0.06275296678398946,0.75,0.07715167498104593,0.7766034222854238,0.029738110116121704,0.86203231292517,0.016763243200439024,0.9107142857142857,0.03857583749052298
S016,252,64,0.7777777777777778,0.029695693545824915,0.758470695970696,0.07197315761508567,0.5,0.1271080744289442,0.591710758377425,0.08438927679203,0.7655187074829932,0.039798280353185604,0.9166666666666666,0.03669294049386296
