subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,10,0.8570196078431372,0.05875844765723513,0.8659627953745602,0.07510551636939142,0.7051470588235293,0.22553761223545837,0.7440998217468806,0.15531490426889008,0.8934806542938031,0.06271631529357868,0.9349376114081996,0.038971855809403655,0.8253333333333334,-0.03168627450980388,-3.8392093509455423
S001,ES,15,15,0.7578039215686274,0.03029583725051559,0.668578431372549,0.07383570193633027,0.5602941176470588,0.09934909267090905,0.6028153406956653,0.06487643224984693,0.7286587763447625,0.04198016551314879,0.8575757575757577,0.04270045941749121,0.8253333333333334,0.06752941176470595,8.182077354366633
S001,ES,20,20,0.7499607843137255,0.03249047416071372,0.7345454545454546,0.16041269090991112,0.4397058823529412,0.06583243907529232,0.5385409477800783,0.05237110899256899,0.7034529988465974,0.06922669693375462,0.9049910873440284,0.06256557529779164,0.8253333333333334,0.07537254901960788,9.132376698660083
S001,ES,25,25,0.7894901960784313,0.07574269968235277,0.7767948717948718,0.13044983619504322,0.5139705882352941,0.19487929899419945,0.6022253389434314,0.17344294344238764,0.7421024693299778,0.12048243864324802,0.9285204991087344,0.04835360237628799,0.8253333333333334,0.03584313725490207,4.342868003421091
S001,ES,30,30,0.7658039215686274,0.02960657054790109,0.7275252525252525,0.10092294219451708,0.5110294117647058,0.07418822503311436,0.5916420361247948,0.038059634571485215,0.7059275715633847,0.06727792911633271,0.8921568627450981,0.06277446242065964,0.8253333333333334,0.05952941176470594,7.212772023187311
S001,AS,10,10,0.7538039215686274,0.04185502523299803,0.6368421052631579,0.3377290953238333,0.388235294117647,0.24845543625815145,0.45757575757575764,0.24550603811582564,0.7107816923560868,0.08679479121360821,0.9349376114081996,0.06547496953183214,0.8253333333333334,0.07152941176470595,8.666730019956294
S001,AS,15,15,0.8016470588235294,0.027741210841114694,0.8090909090909092,0.10272062303005293,0.549264705882353,0.08173348959758973,0.6465560675883256,0.05144520191315081,0.7669268375799516,0.05046748581334108,0.9288770053475937,0.04014614840454217,0.8253333333333334,0.023686274509803984,2.8699040197662335
S001,AS,20,20,0.7458823529411764,0.04339743285044011,0.6764935064935065,0.09327388094343794,0.45294117647058824,0.13870383673590114,0.5300505130760971,0.1339601695750611,0.7044255268952501,0.03215317173545356,0.8934046345811051,0.04708919778128627,0.8253333333333334,0.07945098039215692,9.62653235769268
S001,AS,25,25,0.7458823529411764,0.024689069909787625,0.7452380952380953,0.14996430246262454,0.4397058823529412,0.10608640468747903,0.5290161451451774,0.04677906605255478,0.6369010170913285,0.057238337746681654,0.8976827094474154,0.08520872015049928,0.8253333333333334,0.07945098039215692,9.62653235769268
S001,AS,30,30,0.7736470588235294,0.04820014660792808,0.8564285714285713,0.084225159845621,0.39264705882352946,0.17222842319949827,0.5157564585951683,0.14853157843571313,0.6869370609206249,0.11365452946106287,0.9645276292335115,0.0219649508745089,0.8253333333333334,0.05168627450980401,6.262472678893862
S001,GS,10,10,0.8451764705882352,0.03848847298691238,0.7823272083953198,0.050860314123286836,0.7507352941176471,0.14499284077302754,0.756757196339739,0.07940873480644546,0.8817804996330082,0.048658977090969086,0.8930481283422459,0.039441901421573854,0.8253333333333334,-0.019843137254901833,-2.404257341062419
S001,GS,15,15,0.8769411764705882,0.03444771598358836,0.8574999999999999,0.06802777210652851,0.7625,0.07277554724505068,0.8043756530825495,0.054841229665399095,0.9216315403166615,0.021065410643016945,0.9344028520499108,0.03523194437426792,0.8253333333333334,-0.05160784313725486,-6.252969685450911
S001,GS,20,20,0.8614117647058823,0.04225158533000727,0.8257936507936507,0.07453982450434009,0.7639705882352941,0.18532329368806016,0.7733326690746046,0.10855863501843034,0.8869088811995386,0.062062877680239346,0.9110516934046347,0.055626398570462934,0.8253333333333334,-0.03607843137254896,-4.371376983749873
S001,GS,25,25,0.8693333333333333,0.030915693176489734,0.8525025799793602,0.08283717118932746,0.7492647058823529,0.10316152886644459,0.7901988102799462,0.05765884060155698,0.9089585299360387,0.02343402072560161,0.9283422459893048,0.044704233410102635,0.8253333333333334,-0.04399999999999993,-5.331179321486259
S001,GS,30,30,0.8848627450980391,0.02326994190105404,0.8484383753501401,0.02634486542951567,0.7977941176470589,0.05928130697278343,0.8213328733252832,0.03839666280002065,0.9124331550802139,0.03278427567962776,0.9283422459893048,0.01571865075582789,0.8253333333333334,-0.05952941176470572,-7.212772023187284
S002,ES,10,10,0.6823529411764706,0.020552910872397613,0.2325,0.28500000000000003,0.1764705882352941,0.2232195995412974,0.197979797979798,0.24456963152196456,0.5785971741637832,0.08281497961296237,0.9352941176470587,0.08401680504168062,0.7339607843137255,0.05160784313725486,7.03141696943791
S002,ES,15,15,0.7023529411764706,0.028321220017293973,0.6341880341880343,0.3677955645801882,0.2139705882352941,0.16002405744742793,0.2888529014844804,0.17845882795586762,0.6300245098039217,0.062442810885763166,0.9470588235294117,0.06550311015094146,0.7339607843137255,0.03160784313725484,4.306475742680052
S002,ES,20,20,0.7301960784313726,0.014895767546898217,0.6637012987012987,0.03621048453721614,0.3933823529411765,0.08999471341643671,0.48686977299880524,0.06822308001653618,0.6896377267484535,0.05690766066595969,0.8991087344028521,0.02930841237201684,0.7339607843137255,0.0037647058823528923,0.5129301132720601
