subject,num_trials,num_channels,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1_score,std_f1_score,auc_roc,std_auc_roc,specificity,std_specificity
S001,252,64,0.8253333333333334,0.07047380703419619,0.8432323232323233,0.1046035558064755,0.5698529411764707,0.16444964311638766,0.6744952633573323,0.14551705675645138,0.8344808377896612,0.08615222729324717,0.9522281639928698,0.03063465391649318
S002,252,64,0.7339607843137255,0.031157695666256573,0.7522222222222223,0.14612695309132087,0.34558823529411764,0.16441676305145514,0.4438961038961039,0.12091850647563508,0.6578339624619902,0.10061108436536295,0.9288770053475937,0.07091786411215811
S005,252,64,0.7701960784313726,0.06727702145830641,0.7538888888888888,0.13286491794207037,0.45514705882352946,0.12955373228962958,0.5647038019451813,0.13614188893190643,0.720687847331446,0.07744365784953627,0.9283422459893048,0.040650310251451494
S006,252,64,0.7418039215686274,0.03019210567194355,0.7968864468864469,0.17278780821809586,0.4125,0.24289648499339245,0.4673665909194894,0.20231264531334284,0.7043010118485896,0.08542229740786743,0.9049910873440286,0.09052310494635596
S007,252,64,0.9207843137254901,0.045203287247814826,0.8891228070175439,0.10049064000612021,0.8808823529411764,0.06450503588076857,0.8817171717171718,0.06689142744024358,0.9341400597672223,0.04597562413133638,0.9411764705882353,0.055804899885324354
S008,252,64,0.9085490196078432,0.037403953638476664,0.8808823529411764,0.07446464059513039,0.8463235294117647,0.05884190889336048,0.8615720775113564,0.052875801860667336,0.9394011481597986,0.042788044768037395,0.9401069518716577,0.038340584412137876
S011,252,64,0.8250980392156861,0.03981039259676033,0.8180198233139409,0.0995897545880796,0.6301470588235294,0.05028035587434931,0.707769484109208,0.05022408652456414,0.8264378211177519,0.06711402761983117,0.9219251336898395,0.05662897089215866
S014,252,64,0.8534901960784314,0.05599395804172097,0.8493686868686868,0.07065699886510611,0.6779411764705883,0.16165771863130934,0.7457239057239057,0.1109794330192725,0.8227190809478871,0.07070509016954098,0.9406417112299466,0.026116363293368906
S015,252,64,0.8570980392156862,0.04968279233197691,0.8280042016806723,0.08262120814310195,0.7249999999999999,0.12984552973320065,0.766131907308378,0.09329571420753742,0.8782970273670966,0.04818793331619858,0.9231729055258466,0.03947572188591878
S016,252,64,0.7740392156862745,0.05861579003974827,0.7419340463458111,0.17283673769961852,0.5713235294117647,0.17603500163123229,0.6194761221561796,0.11097665529982521,0.7354245307748768,0.057932612850087495,0.8745098039215687,0.1070133513136349
