method,k,accuracy_mean,accuracy_std,accuracy_drop_mean,accuracy_drop_std,accuracy_drop_pct_mean,accuracy_drop_pct_std,num_channels_selected_mean,n_subjects,channel_reduction_pct
AS,10,0.6322905214059636,0.14532327862824235,0.09387794198139024,0.08287052924712736,13.384004474154432,13.007592087409078,10.0,5,84.375
AS,15,0.677639275600295,0.15806014163387078,0.048529187787058836,0.11056462489958245,6.829010095539599,16.260271681284024,15.0,5,76.5625
AS,20,0.6458105471073987,0.1119285198855959,0.08035791627995523,0.04548515101571408,11.206404982925136,6.790401632304223,20.0,5,68.75
AS,25,0.6299330096856334,0.07832996696799802,0.09623545370172053,0.0843813454938032,12.642778165048608,10.445867227807868,25.0,5,60.9375
ES,10,0.60015968206373,0.16640632069656858,0.12600878132362386,0.07843069608077219,18.271725706764684,11.828273402079189,18.0,5,71.875
ES,15,0.6164480854810689,0.15247141545784557,0.10972037790628493,0.06667848107686063,15.821588251387476,10.127210810464378,24.4,5,61.875
ES,20,0.7039494538445064,0.10169505618279938,0.0222190095428476,0.06723080483025709,2.712718854296813,9.857172141495099,30.8,5,51.87500000000001
ES,25,0.6689731324813784,0.10594762303549621,0.057195330905975596,0.05878719579414926,7.775563774970713,8.261827784471775,34.6,5,45.9375
