Variant,Mean Diff,Improvement (%),t-statistic,p-value,Significance
multi2,0.03275862068965518,5.1676836478879915,0.9999999999999998,0.373900966300059,ns
multi3,0.03275862068965518,5.1676836478879915,0.9999999999999998,0.373900966300059,ns
