subject,num_trials,num_channels,baseline_acc,gated_acc,carmv2_acc,gated_vs_baseline,carmv2_vs_baseline,carmv2_vs_gated
S001,252,64,0.8174603174603176,0.8373015873015873,0.8968253968253967,0.01984126984126977,0.0793650793650792,0.05952380952380942
S002,252,64,0.7976190476190476,0.7857142857142857,0.7896825396825397,-0.011904761904761862,-0.007936507936507908,0.003968253968253954
S005,252,64,0.8452380952380952,0.8492063492063493,0.8492063492063493,0.003968253968254065,0.003968253968254065,0.0
S006,252,64,0.7579365079365079,0.8174603174603176,0.8015873015873015,0.059523809523809645,0.04365079365079361,-0.01587301587301604
S007,252,64,0.9325396825396824,0.9285714285714287,0.9047619047619048,-0.003968253968253732,-0.02777777777777768,-0.023809523809523947
S008,252,64,0.9047619047619048,0.9246031746031745,0.9444444444444443,0.01984126984126977,0.03968253968253954,0.01984126984126977
S011,252,64,0.8174603174603176,0.8134920634920636,0.873015873015873,-0.003968253968253954,0.05555555555555547,0.05952380952380942
S014,252,64,0.8611111111111112,0.876984126984127,0.8134920634920636,0.015873015873015817,-0.04761904761904756,-0.06349206349206338
S015,252,64,0.9166666666666666,0.9126984126984127,0.9126984126984127,-0.003968253968253954,-0.003968253968253954,0.0
S016,252,64,0.861111111111111,0.8690476190476191,0.7738095238095238,0.00793650793650802,-0.08730158730158721,-0.09523809523809523
S020,252,64,0.9761904761904762,0.9642857142857143,0.9722222222222222,-0.011904761904761862,-0.003968253968253954,0.007936507936507908
S030,252,64,0.8412698412698413,0.8412698412698413,0.8690476190476191,0.0,0.02777777777777779,0.02777777777777779
S031,252,64,0.865079365079365,0.8968253968253969,0.8809523809523809,0.031746031746031855,0.015873015873015928,-0.015873015873015928
S032,252,64,0.9047619047619048,0.9285714285714285,0.9285714285714285,0.023809523809523725,0.023809523809523725,0.0
S033,252,64,0.861111111111111,0.8531746031746033,0.9166666666666666,-0.007936507936507797,0.05555555555555558,0.06349206349206338
S034,252,64,0.8849206349206349,0.888888888888889,0.8968253968253969,0.003968253968254065,0.011904761904761973,0.007936507936507908
S035,252,64,0.9047619047619048,0.8968253968253967,0.9126984126984127,-0.00793650793650802,0.007936507936507908,0.015873015873015928
S036,252,64,0.876984126984127,0.8809523809523809,0.8373015873015873,0.003968253968253954,-0.03968253968253965,-0.04365079365079361
S037,252,64,0.8690476190476191,0.8253968253968255,0.8015873015873017,-0.04365079365079361,-0.06746031746031733,-0.023809523809523725
S038,252,64,0.8015873015873017,0.8492063492063492,0.7896825396825397,0.04761904761904745,-0.011904761904762085,-0.059523809523809534
