subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8174603174603176,0.02805979290422803
S002,252,64,0.7976190476190476,0.016835875742536838
S005,252,64,0.8452380952380952,0.0291605921759902
S006,252,64,0.7579365079365079,0.020234204419018968
S007,252,64,0.9325396825396824,0.020234204419018968
S008,252,64,0.9047619047619048,0.0194403947839935
S011,252,64,0.8174603174603176,0.04892392065848395
S014,252,64,0.8611111111111112,0.014847846772912463
S015,252,64,0.9166666666666666,0.00972019739199675
S016,252,64,0.861111111111111,0.05527138205231793
S020,252,64,0.9761904761904762,0.0
S030,252,64,0.8412698412698413,0.029695693545824915
S031,252,64,0.865079365079365,0.06896090157532843
S032,252,64,0.9047619047619048,0.025717224993681977
S033,252,64,0.861111111111111,0.005611958580845648
S034,252,64,0.8849206349206349,0.029695693545824926
S035,252,64,0.9047619047619048,0.0291605921759902
S036,252,64,0.876984126984127,0.014847846772912503
S037,252,64,0.8690476190476191,0.01683587574253689
S038,252,64,0.8015873015873017,0.005611958580845595
