subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8968253968253967,0.029695693545824964
S002,252,64,0.7896825396825397,0.04046840883803797
S005,252,64,0.8492063492063493,0.014847846772912463
S006,252,64,0.8015873015873015,0.07360014678964845
S007,252,64,0.9047619047619048,0.025717224993681977
S008,252,64,0.9444444444444443,0.005611958580845595
S011,252,64,0.873015873015873,0.005611958580845595
S014,252,64,0.8134920634920636,0.03413621137715325
S015,252,64,0.9126984126984127,0.024461960329241975
S016,252,64,0.7738095238095238,0.0423693581429814
S020,252,64,0.9722222222222222,0.005611958580845595
S030,252,64,0.8690476190476191,0.00972019739199675
S031,252,64,0.8809523809523809,0.05143444998736394
S032,252,64,0.9285714285714285,0.00972019739199675
S033,252,64,0.9166666666666666,0.016835875742536838
S034,252,64,0.8968253968253969,0.024461960329241975
S035,252,64,0.9126984126984127,0.040468408838037984
S036,252,64,0.8373015873015873,0.014847846772912454
S037,252,64,0.8015873015873017,0.014847846772912454
S038,252,64,0.7896825396825397,0.022447834323382432
