subject,num_trials,num_channels,gated_acc,gated_std,gate_mean,gate_std,gate_min,gate_max
S001,231,64,0.7531859070464768,0.014055472263868107,0.8999617099761963,0.0003989799879491329,0.899307370185852,0.9008529186248779
S002,231,64,0.7791229385307346,0.022601199400299865,0.8999029397964478,0.00034358861739747226,0.8991530537605286,0.9006946086883545
S005,252,64,0.75,0.011904761904761862,0.9000078439712524,0.0006116493605077267,0.898621678352356,0.901282787322998
S006,252,64,0.75,0.003968253968253954,0.8999019265174866,0.0002929739421233535,0.899187445640564,0.9005404710769653
S007,252,64,0.9087301587301587,0.003968253968253954,0.899950385093689,0.0004093969182576984,0.8991680145263672,0.900732159614563
