subject,baseline_acc,baseline_std,gated_acc,gated_std,accuracy_delta,gate_mean,gate_std
S001,0.6843703148425787,0.0895427286356821,0.7531859070464768,0.014055472263868107,0.0688155922038981,0.8999617099761963,0.0003989799879491329
S002,0.6925037481259371,0.0316341829085457,0.7791229385307346,0.022601199400299865,0.08661919040479749,0.8999029397964478,0.00034358861739747226
S005,0.6507936507936508,0.0238095238095238,0.75,0.011904761904761862,0.09920634920634919,0.9000078439712524,0.0006116493605077267
S006,0.6904761904761905,0.0238095238095238,0.75,0.003968253968253954,0.059523809523809534,0.8999019265174866,0.0002929739421233535
S007,0.9126984126984128,0.0,0.9087301587301587,0.003968253968253954,-0.003968253968254065,0.899950385093689,0.0004093969182576984
