subject,method,k,num_selected,selected_channels,accuracy_full
S002,AS,15,15,"['Fc2', 'C6', 'Cp3', 'Cp4', 'Fp1', 'Fp2', 'Af3', 'F7', 'Fz', 'Tp7', 'P5', 'P4', 'Po3', 'Poz', 'Oz']",0.7791229385307346
S002,AS,20,20,"['Fc2', 'C1', 'C4', 'C6', 'Cp3', 'Cp4', 'Fp1', 'Fp2', 'Af3', 'F7', 'Fz', 'Tp7', 'P5', 'P1', 'P4', 'Po3', 'Poz', 'Po4', 'Oz', 'Iz']",0.7791229385307346
S002,AS,25,25,"['Fc3', 'Fc2', 'C1', 'C4', 'C6', 'Cp3', 'Cpz', 'Cp4', 'Fp1', 'Fp2', 'Af3', 'F7', 'Fz', 'F6', 'Tp7', 'P5', 'P1', 'P2', 'P4', 'Po3', 'Poz', 'Po4', 'O1', 'Oz', 'Iz']",0.7791229385307346
S002,AS,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.7791229385307346
S005,ES,10,15,"['Fc5', 'C1', 'Cp3', 'Cpz', 'Fpz', 'Af3', 'Afz', 'Af4', 'F2', 'Ft7', 'P7', 'P3', 'Po7', 'Poz', 'O1']",0.75
S005,ES,15,23,"['Fc5', 'Fc3', 'Fc1', 'Fc2', 'C1', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Fp1', 'Fpz', 'Af3', 'Afz', 'Af4', 'F2', 'Ft7', 'Tp7', 'Tp8', 'P7', 'P3', 'Po7', 'Poz', 'O1']",0.75
S005,ES,20,29,"['Fc5', 'Fc3', 'Fc1', 'Fc2', 'C1', 'C4', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fp1', 'Fpz', 'Af3', 'Afz', 'Af4', 'Af8', 'Fz', 'F2', 'Ft7', 'T8', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'Po7', 'Poz', 'O1', 'Iz']",0.75
S005,ES,25,34,"['Fc5', 'Fc3', 'Fc1', 'Fc2', 'C5', 'C1', 'C4', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fp1', 'Fpz', 'Af3', 'Afz', 'Af4', 'Af8', 'F5', 'F1', 'Fz', 'F2', 'Ft7', 'T8', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'Pz', 'P8', 'Po7', 'Poz', 'O1', 'Iz']",0.75
S005,ES,64,64,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.75
S005,AS,10,10,"['Fc5', 'C1', 'Cp1', 'Fpz', 'Afz', 'F3', 'T8', 'Pz', 'Po3', 'Oz']",0.75
