subject,num_trials,num_channels,all_channels_acc,all_channels_std
S001,231,64,0.753223388305847,0.005397301349325312
S002,231,64,0.6753748125937031,0.011581709145427277
S005,252,64,0.5357142857142857,0.08333333333333334
S006,252,64,0.5753968253968254,0.11507936507936509
S007,252,64,0.9007936507936507,0.019841269841269826
