subject,method,k,num_channels_selected,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,10,0.7261904761904763,0.044543540318737376,0.8214285714285715,0.09523809523809523,11.594202898550723
S001,ES,15,15,0.7420634920634921,0.07360014678964845,0.8214285714285715,0.07936507936507942,9.661835748792276
S001,ES,20,20,0.7579365079365079,0.06249212598422074,0.8214285714285715,0.0634920634920636,7.7294685990338285
S001,ES,25,25,0.753968253968254,0.022447834323382432,0.8214285714285715,0.06746031746031755,8.21256038647344
S001,ES,30,30,0.8333333333333334,0.03504667010447556,0.8214285714285715,-0.011904761904761862,-1.4492753623188352
S001,AS,10,10,0.7976190476190476,0.033671751485073675,0.8214285714285715,0.023809523809523947,2.8985507246376976
S001,AS,15,15,0.7380952380952381,0.019440394783993453,0.8214285714285715,0.08333333333333337,10.144927536231888
S001,AS,20,20,0.7896825396825397,0.05353467286996841,0.8214285714285715,0.031746031746031855,3.8647342995169214
S001,AS,25,25,0.753968253968254,0.04892392065848395,0.8214285714285715,0.06746031746031755,8.21256038647344
S001,AS,30,30,0.8452380952380952,0.009720197391996704,0.8214285714285715,-0.023809523809523725,-2.8985507246376705
S001,GS,10,10,0.8888888888888888,0.029695693545824964,0.8214285714285715,-0.06746031746031733,-8.212560386473413
S001,GS,15,15,0.8888888888888888,0.039283710065919304,0.8214285714285715,-0.06746031746031733,-8.212560386473413
S001,GS,20,20,0.8968253968253969,0.022447834323382487,0.8214285714285715,-0.07539682539682535,-9.17874396135265
S001,GS,25,25,0.9166666666666666,0.03504667010447556,0.8214285714285715,-0.09523809523809512,-11.594202898550709
S001,GS,30,30,0.876984126984127,0.029695693545824915,0.8214285714285715,-0.05555555555555547,-6.763285024154578
S002,ES,10,10,0.7301587301587302,0.08380441302358282,0.7579365079365079,0.02777777777777768,3.6649214659685736
S002,ES,15,15,0.746031746031746,0.07423923386456234,0.7579365079365079,0.011904761904761862,1.5706806282722456
S002,ES,20,20,0.7380952380952381,0.00972019739199675,0.7579365079365079,0.01984126984126977,2.61780104712041
S002,ES,25,25,0.7301587301587302,0.05695515910479097,0.7579365079365079,0.02777777777777768,3.6649214659685736
S002,ES,30,30,0.746031746031746,0.07360014678964842,0.7579365079365079,0.011904761904761862,1.5706806282722456
S002,AS,10,10,0.7142857142857143,0.06804138174397717,0.7579365079365079,0.04365079365079361,5.759162303664915
S002,AS,15,15,0.6904761904761906,0.025717224993681977,0.7579365079365079,0.06746031746031733,8.900523560209407
S002,AS,20,20,0.7103174603174603,0.029695693545824926,0.7579365079365079,0.04761904761904756,6.282722513088998
S002,AS,25,25,0.7023809523809524,0.07591716853059123,0.7579365079365079,0.05555555555555547,7.329842931937161
S002,AS,30,30,0.7261904761904763,0.044543540318737376,0.7579365079365079,0.03174603174603163,4.188481675392655
S002,GS,10,10,0.6547619047619048,0.07338588098772592,0.7579365079365079,0.10317460317460314,13.612565445026172
S002,GS,15,15,0.6865079365079364,0.036800073394824245,0.7579365079365079,0.07142857142857151,9.42408376963352
S002,GS,20,20,0.6984126984126983,0.02969569354582496,0.7579365079365079,0.059523809523809645,7.853403141361273
S002,GS,25,25,0.75,0.05411976863883274,0.7579365079365079,0.007936507936507908,1.0471204188481638
S002,GS,30,30,0.746031746031746,0.03928371006591935,0.7579365079365079,0.011904761904761862,1.5706806282722456
S005,ES,10,10,0.8888888888888888,0.011223917161691244,0.8214285714285715,-0.06746031746031733,-8.212560386473413
S005,ES,15,15,0.8571428571428572,0.016835875742536838,0.8214285714285715,-0.0357142857142857,-4.34782608695652
S005,ES,20,20,0.8412698412698413,0.045935860725358026,0.8214285714285715,-0.01984126984126977,-2.415458937198059
S005,ES,25,25,0.8412698412698413,0.01122391716169119,0.8214285714285715,-0.01984126984126977,-2.415458937198059
S005,ES,30,30,0.8849206349206349,0.04046840883803797,0.8214285714285715,-0.06349206349206338,-7.729468599033802
S005,AS,10,10,0.8690476190476191,0.051434449987363975,0.8214285714285715,-0.04761904761904756,-5.797101449275354
S005,AS,15,15,0.8373015873015873,0.0903159260058813,0.8214285714285715,-0.015873015873015817,-1.9323671497584471
S005,AS,20,20,0.8928571428571429,0.019440394783993453,0.8214285714285715,-0.0714285714285714,-8.69565217391304
S005,AS,25,25,0.8928571428571428,0.016835875742536838,0.8214285714285715,-0.07142857142857129,-8.695652173913025
S005,AS,30,30,0.8571428571428571,0.04236935814298138,0.8214285714285715,-0.03571428571428559,-4.3478260869565055
S005,GS,10,10,0.8253968253968255,0.011223917161691244,0.8214285714285715,-0.003968253968253954,-0.4830917874396118
S005,GS,15,15,0.8571428571428572,0.029160592175990246,0.8214285714285715,-0.0357142857142857,-4.34782608695652
S005,GS,20,20,0.8253968253968255,0.04046840883803797,0.8214285714285715,-0.003968253968253954,-0.4830917874396118
S005,GS,25,25,0.8373015873015873,0.014847846772912454,0.8214285714285715,-0.015873015873015817,-1.9323671497584471
S005,GS,30,30,0.8412698412698413,0.05859056769933887,0.8214285714285715,-0.01984126984126977,-2.415458937198059
S006,ES,10,10,0.7182539682539683,0.03413621137715325,0.7976190476190476,0.0793650793650793,9.9502487562189
S006,ES,15,15,0.7222222222222223,0.039283710065919304,0.7976190476190476,0.07539682539682524,9.452736318407942
S006,ES,20,20,0.7103174603174603,0.053534672869968415,0.7976190476190476,0.08730158730158721,10.945273631840786
S006,ES,25,25,0.7301587301587302,0.07164869081455473,0.7976190476190476,0.06746031746031733,8.457711442786055
S006,ES,30,30,0.7301587301587302,0.04383079768725102,0.7976190476190476,0.06746031746031733,8.457711442786055
S006,AS,10,10,0.75,0.025717224993681977,0.7976190476190476,0.04761904761904756,5.9701492537313365
S006,AS,15,15,0.7420634920634921,0.034136211377153294,0.7976190476190476,0.05555555555555547,6.9651741293532226
S006,AS,20,20,0.7182539682539684,0.04794859513331178,0.7976190476190476,0.0793650793650792,9.950248756218885
S006,AS,25,25,0.7380952380952381,0.025717224993681995,0.7976190476190476,0.05952380952380942,7.462686567164168
S006,AS,30,30,0.7658730158730158,0.04593586072535807,0.7976190476190476,0.031746031746031744,3.9800995024875623
S006,GS,10,10,0.8095238095238096,0.025717224993681977,0.7976190476190476,-0.011904761904762085,-1.4925373134328586
S006,GS,15,15,0.7182539682539683,0.043830797687251066,0.7976190476190476,0.0793650793650793,9.9502487562189
S006,GS,20,20,0.753968253968254,0.005611958580845595,0.7976190476190476,0.04365079365079361,5.472636815920393
S006,GS,25,25,0.7341269841269842,0.024461960329241982,0.7976190476190476,0.06349206349206338,7.96019900497511
S006,GS,30,30,0.7182539682539683,0.045935860725358026,0.7976190476190476,0.0793650793650793,9.9502487562189
S007,ES,10,10,0.9047619047619048,0.04454354031873742,0.9206349206349206,0.015873015873015817,1.7241379310344769
S007,ES,15,15,0.9246031746031745,0.011223917161691244,0.9206349206349206,-0.003968253968253954,-0.4310344827586192
S007,ES,20,20,0.9087301587301587,0.022447834323382432,0.9206349206349206,0.011904761904761862,1.2931034482758574
S007,ES,25,25,0.9246031746031745,0.011223917161691244,0.9206349206349206,-0.003968253968253954,-0.4310344827586192
S007,ES,30,30,0.9166666666666666,0.019440394783993453,0.9206349206349206,0.003968253968253954,0.4310344827586192
S007,AS,10,10,0.9047619047619048,0.009720197391996704,0.9206349206349206,0.015873015873015817,1.7241379310344769
S007,AS,15,15,0.9246031746031745,0.005611958580845648,0.9206349206349206,-0.003968253968253954,-0.4310344827586192
S007,AS,20,20,0.9206349206349206,0.011223917161691244,0.9206349206349206,0.0,0.0
