subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8531746031746031,0.014847846772912454
S002,252,64,0.7777777777777778,0.05353467286996841
S005,252,64,0.8134920634920634,0.061731544389301764
S006,252,64,0.746031746031746,0.029695693545824915
S007,252,64,0.9325396825396824,0.024461960329241975
S008,252,64,0.9126984126984127,0.014847846772912454
S011,252,64,0.7777777777777778,0.058590567699338916
S014,252,64,0.8174603174603173,0.04489566864676491
S015,252,64,0.8611111111111112,0.014847846772912463
S016,252,64,0.8650793650793651,0.04046840883803797
