subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8849206349206349,0.022447834323382432
S002,252,64,0.753968253968254,0.02805979290422808
S005,252,64,0.8174603174603176,0.053534672869968436
S006,252,64,0.7698412698412698,0.020234204419019016
S007,252,64,0.9365079365079366,0.024461960329241975
S008,252,64,0.8888888888888888,0.020234204419018968
S011,252,64,0.8015873015873017,0.020234204419018968
S014,252,64,0.8571428571428572,0.054119768638832756
S015,252,64,0.8611111111111112,0.0489239206584839
S016,252,64,0.8412698412698413,0.05939138709164988
