subject,num_trials,num_channels,accuracy,std
S001,252,64,0.8214285714285715,0.038880789567986955
S002,252,64,0.7579365079365079,0.024461960329241975
S005,252,64,0.8214285714285715,0.016835875742536838
S006,252,64,0.7976190476190476,0.0350466701044756
S007,252,64,0.9206349206349206,0.0341362113771533
S008,252,64,0.9047619047619048,0.038880789567986955
S011,252,64,0.8015873015873017,0.020234204419018968
S014,252,64,0.8888888888888888,0.020234204419018968
S015,252,64,0.8888888888888888,0.031246062992110354
S016,252,64,0.8571428571428572,0.054119768638832756
