subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S001,ACS_SE_CNN,ACS_SE_CNN,default,30,0.8929,-0.0278,0.9207000000000001,96.98055827088085
S001,G_CARM,G_CARM-ES,ES,10,0.7857,0.0238,0.7618999999999999,103.12376952355953
S001,G_CARM,G_CARM-ES,ES,15,0.7024,0.1071,0.5953,117.99092894338987
S001,G_CARM,G_CARM-ES,ES,20,0.7421,0.0675,0.6746,110.00592943966797
S001,G_CARM,G_CARM-ES,ES,25,0.7183,0.0913,0.627,114.56140350877193
S001,G_CARM,G_CARM-ES,ES,30,0.7262,0.0833,0.6428999999999999,112.95691398351222
S001,G_CARM,G_CARM-AS,AS,10,0.881,-0.0714,0.9524,92.50314993700127
S001,G_CARM,G_CARM-AS,AS,15,0.8571,-0.0476,0.9047,94.73858737703105
S001,G_CARM,G_CARM-AS,AS,20,0.8929,-0.0833,0.9762000000000001,91.46691251792664
S001,G_CARM,G_CARM-AS,AS,25,0.8651,-0.0556,0.9207,93.9611165417617
S001,G_CARM,G_CARM-AS,AS,30,0.8492,-0.0397,0.8888999999999999,95.53380582742716
S002,FBCSP,FBCSP,default,10,0.631,0.0476,0.5834,108.15906753513885
S002,FBCSP,FBCSP,default,15,0.6706,0.0079,0.6627,101.19209295307077
S002,FBCSP,FBCSP,default,20,0.6825,-0.004,0.6865,99.41733430444283
S002,FBCSP,FBCSP,default,25,0.6429,0.0357,0.6072000000000001,105.87944664031619
S002,FBCSP,FBCSP,default,30,0.6786,0.0,0.6786,100.0
S002,CNN_SAE,CNN_SAE,default,10,0.7341,-0.0238,0.7579,96.85974402955534
S002,CNN_SAE,CNN_SAE,default,15,0.7341,-0.0238,0.7579,96.85974402955534
S002,CNN_SAE,CNN_SAE,default,20,0.7579,-0.0476,0.8055,94.09062693978896
S002,CNN_SAE,CNN_SAE,default,25,0.7381,-0.0278,0.7659,96.37028332680507
S002,CNN_SAE,CNN_SAE,default,30,0.7222,-0.0119,0.7341,98.37896744312764
S002,EEGNET,EEGNET,default,10,0.8333,-0.0437,0.877,95.01710376282783
S002,EEGNET,EEGNET,default,15,0.8373,-0.0476,0.8849,94.6208611142502
S002,EEGNET,EEGNET,default,20,0.8254,-0.0357,0.8611,95.85414005342004
S002,EEGNET,EEGNET,default,25,0.7778,0.0119,0.7659,101.55372764068416
S002,EEGNET,EEGNET,default,30,0.8175,-0.0278,0.8453,96.7112267833905
S002,ACS_SE_CNN,ACS_SE_CNN,default,10,0.6944,0.004,0.6904,100.57937427578216
S002,ACS_SE_CNN,ACS_SE_CNN,default,15,0.6905,0.0079,0.6826,101.15733958394375
S002,ACS_SE_CNN,ACS_SE_CNN,default,20,0.6865,0.0119,0.6746,101.76400830121554
S002,ACS_SE_CNN,ACS_SE_CNN,default,25,0.7103,-0.0119,0.7222000000000001,98.35225699252284
S002,ACS_SE_CNN,ACS_SE_CNN,default,30,0.7143,-0.0159,0.7302000000000001,97.82251437962202
S002,G_CARM,G_CARM-ES,ES,10,0.6905,-0.0159,0.7064,97.74915062287656
S002,G_CARM,G_CARM-ES,ES,15,0.6825,-0.0079,0.6904,98.85573580533024
