subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S011,ACS_SE_CNN,ACS_SE_CNN,default,20,0.8056,0.0278,0.7777999999999999,103.57418359475443
S011,ACS_SE_CNN,ACS_SE_CNN,default,25,0.8413,-0.0079,0.8492000000000001,99.06971267074893
S011,ACS_SE_CNN,ACS_SE_CNN,default,30,0.8095,0.0238,0.7857,103.02914598447246
S011,G_CARM,G_CARM-ES,ES,10,0.6944,0.0159,0.6785,102.34340456890199
S011,G_CARM,G_CARM-ES,ES,15,0.6944,0.0159,0.6785,102.34340456890199
S011,G_CARM,G_CARM-ES,ES,20,0.7341,-0.0238,0.7579,96.85974402955534
S011,G_CARM,G_CARM-ES,ES,25,0.7381,-0.0278,0.7659,96.37028332680507
S011,G_CARM,G_CARM-ES,ES,30,0.7103,0.0,0.7103,100.0
S011,G_CARM,G_CARM-AS,AS,10,0.7222,-0.0119,0.7341,98.37896744312764
S011,G_CARM,G_CARM-AS,AS,15,0.6548,0.0556,0.5992000000000001,109.27903871829105
S011,G_CARM,G_CARM-AS,AS,20,0.6706,0.0397,0.6309,106.29259787605008
S011,G_CARM,G_CARM-AS,AS,25,0.7937,-0.0833,0.877,90.50171037628277
S011,G_CARM,G_CARM-AS,AS,30,0.75,-0.0397,0.7897,94.97277447131822
S014,FBCSP,FBCSP,default,10,0.7063,-0.0317,0.738,95.70460704607046
S014,FBCSP,FBCSP,default,15,0.7024,-0.0278,0.7302000000000001,96.19282388386743
S014,FBCSP,FBCSP,default,20,0.7024,-0.0278,0.7302000000000001,96.19282388386743
S014,FBCSP,FBCSP,default,25,0.7302,-0.0556,0.7857999999999999,92.92440824637312
S014,FBCSP,FBCSP,default,30,0.6746,0.0,0.6746,100.0
S014,CNN_SAE,CNN_SAE,default,10,0.881,-0.0278,0.9088,96.94102112676056
S014,CNN_SAE,CNN_SAE,default,15,0.877,-0.0238,0.9008,97.35790408525754
S014,CNN_SAE,CNN_SAE,default,20,0.873,-0.0198,0.8928,97.78225806451613
S014,CNN_SAE,CNN_SAE,default,25,0.881,-0.0278,0.9088,96.94102112676056
S014,CNN_SAE,CNN_SAE,default,30,0.8651,-0.0119,0.877,98.64310148232612
S014,EEGNET,EEGNET,default,10,0.9048,-0.0278,0.9326000000000001,97.01908642504826
S014,EEGNET,EEGNET,default,15,0.8968,-0.0198,0.9166000000000001,97.83984289766529
S014,EEGNET,EEGNET,default,20,0.881,-0.004,0.885,99.54802259887006
S014,EEGNET,EEGNET,default,25,0.8968,-0.0198,0.9166000000000001,97.83984289766529
S014,EEGNET,EEGNET,default,30,0.8929,-0.0159,0.9088,98.25044014084506
S014,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8175,0.0079,0.8096,100.97579051383399
S014,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8333,-0.0079,0.8412000000000001,99.06086543033761
S014,ACS_SE_CNN,ACS_SE_CNN,default,20,0.8254,0.0,0.8254,100.0
S014,ACS_SE_CNN,ACS_SE_CNN,default,25,0.8333,-0.0079,0.8412000000000001,99.06086543033761
S014,ACS_SE_CNN,ACS_SE_CNN,default,30,0.7976,0.0278,0.7697999999999999,103.61132761756302
S014,G_CARM,G_CARM-ES,ES,10,0.7143,0.004,0.7103,100.56314233422499
S014,G_CARM,G_CARM-ES,ES,15,0.7421,-0.0238,0.7659,96.89254471863167
S014,G_CARM,G_CARM-ES,ES,20,0.6984,0.0198,0.6786,102.91777188328912
S014,G_CARM,G_CARM-ES,ES,25,0.7183,0.0,0.7183,100.0
S014,G_CARM,G_CARM-ES,ES,30,0.7937,-0.0754,0.8691,91.32435853181453
S014,G_CARM,G_CARM-AS,AS,10,0.7659,-0.0476,0.8135,94.14874001229256
S014,G_CARM,G_CARM-AS,AS,15,0.8214,-0.1032,0.9246,88.83841661258923
S014,G_CARM,G_CARM-AS,AS,20,0.7698,-0.0516,0.8214,93.71804236669102
S014,G_CARM,G_CARM-AS,AS,25,0.7937,-0.0754,0.8691,91.32435853181453
S014,G_CARM,G_CARM-AS,AS,30,0.7857,-0.0675,0.8532,92.08860759493672
S015,FBCSP,FBCSP,default,10,0.8135,-0.0675,0.881,92.33825198637912
S015,FBCSP,FBCSP,default,15,0.8413,-0.0952,0.9365000000000001,89.83449012279765
S015,FBCSP,FBCSP,default,20,0.8333,-0.0873,0.9206000000000001,90.51705409515533
S015,FBCSP,FBCSP,default,25,0.8373,-0.0913,0.9286000000000001,90.16799483092828
S015,FBCSP,FBCSP,default,30,0.8413,-0.0952,0.9365000000000001,89.83449012279765
S015,CNN_SAE,CNN_SAE,default,10,0.8294,0.0159,0.8135,101.95451751690227
S015,CNN_SAE,CNN_SAE,default,15,0.8294,0.0159,0.8135,101.95451751690227
S015,CNN_SAE,CNN_SAE,default,20,0.8532,-0.0079,0.8611,99.08256880733944
S015,CNN_SAE,CNN_SAE,default,25,0.8611,-0.0159,0.877,98.18700114025086
S015,CNN_SAE,CNN_SAE,default,30,0.8651,-0.0198,0.8849,97.76245903491919
S015,EEGNET,EEGNET,default,10,0.8968,0.0159,0.8809,101.80497218753548
S015,EEGNET,EEGNET,default,15,0.9167,-0.004,0.9207,99.56554795264474
S015,EEGNET,EEGNET,default,20,0.9008,0.0119,0.8889,101.33873326583418
S015,EEGNET,EEGNET,default,25,0.9127,0.0,0.9127,100.0
S015,EEGNET,EEGNET,default,30,0.9325,-0.0198,0.9523,97.92082326997794
S015,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8294,0.0198,0.8096,102.44565217391303
S015,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8571,-0.0079,0.865,99.08670520231215
S015,ACS_SE_CNN,ACS_SE_CNN,default,20,0.8571,-0.0079,0.865,99.08670520231215
S015,ACS_SE_CNN,ACS_SE_CNN,default,25,0.8254,0.0238,0.8016,102.96906187624751
S015,ACS_SE_CNN,ACS_SE_CNN,default,30,0.8452,0.004,0.8412,100.4755111745126
S015,G_CARM,G_CARM-ES,ES,10,0.8413,0.0159,0.8254,101.92633874485098
S015,G_CARM,G_CARM-ES,ES,15,0.7857,0.0714,0.7142999999999999,109.99580008399832
S015,G_CARM,G_CARM-ES,ES,20,0.7778,0.0794,0.6984,111.368843069874
S015,G_CARM,G_CARM-ES,ES,25,0.8254,0.0317,0.7937000000000001,103.99395237495274
S015,G_CARM,G_CARM-ES,ES,30,0.8214,0.0357,0.7857000000000001,104.54371897670866
S015,G_CARM,G_CARM-AS,AS,10,0.8294,0.0278,0.8016,103.46806387225548
S015,G_CARM,G_CARM-AS,AS,15,0.8214,0.0357,0.7857000000000001,104.54371897670866
S015,G_CARM,G_CARM-AS,AS,20,0.8333,0.0238,0.8095,102.94008647313157
S015,G_CARM,G_CARM-AS,AS,25,0.8611,-0.004,0.8651,99.53762570801064
S015,G_CARM,G_CARM-AS,AS,30,0.8492,0.0079,0.8412999999999999,100.93902294068704
S016,FBCSP,FBCSP,default,10,0.7302,-0.1032,0.8333999999999999,87.61699064074875
S016,FBCSP,FBCSP,default,15,0.7103,-0.0833,0.7936000000000001,89.50352822580645
S016,FBCSP,FBCSP,default,20,0.6825,-0.0556,0.7381,92.46714537325566
S016,FBCSP,FBCSP,default,25,0.6508,-0.0238,0.6746000000000001,96.47198339756893
S016,FBCSP,FBCSP,default,30,0.6984,-0.0714,0.7698,90.72486360093531
S016,CNN_SAE,CNN_SAE,default,10,0.7738,-0.0198,0.7936000000000001,97.50504032258064
S016,CNN_SAE,CNN_SAE,default,15,0.75,0.004,0.746,100.53619302949062
S016,CNN_SAE,CNN_SAE,default,20,0.7579,-0.004,0.7619,99.47499671872949
S016,CNN_SAE,CNN_SAE,default,25,0.7659,-0.0119,0.7778,98.47004371303677
S016,CNN_SAE,CNN_SAE,default,30,0.7778,-0.0238,0.8016000000000001,97.03093812375249
S016,EEGNET,EEGNET,default,10,0.8095,0.0079,0.8016,100.98552894211576
S016,EEGNET,EEGNET,default,15,0.7857,0.0317,0.754,104.20424403183024
S016,EEGNET,EEGNET,default,20,0.7619,0.0556,0.7063,107.87200906130539
S016,EEGNET,EEGNET,default,25,0.7738,0.0437,0.7301000000000001,105.9854814408985
S016,EEGNET,EEGNET,default,30,0.7341,0.0833,0.6507999999999999,112.79963122311003
S016,ACS_SE_CNN,ACS_SE_CNN,default,10,0.7063,0.0397,0.6666000000000001,105.95559555955596
S016,ACS_SE_CNN,ACS_SE_CNN,default,15,0.7024,0.0437,0.6587000000000001,106.63427964171852
S016,ACS_SE_CNN,ACS_SE_CNN,default,20,0.7143,0.0317,0.6826000000000001,104.64400820392616
S016,ACS_SE_CNN,ACS_SE_CNN,default,25,0.7024,0.0437,0.6587000000000001,106.63427964171852
S016,ACS_SE_CNN,ACS_SE_CNN,default,30,0.75,-0.004,0.754,99.46949602122017
S016,G_CARM,G_CARM-ES,ES,10,0.7341,0.0476,0.6865,106.93372177713036
S016,G_CARM,G_CARM-ES,ES,15,0.7659,0.0159,0.75,102.12
S016,G_CARM,G_CARM-ES,ES,20,0.7778,0.004,0.7738,100.51692943913156
S016,G_CARM,G_CARM-ES,ES,25,0.7222,0.0595,0.6627,108.97842160857101
S016,G_CARM,G_CARM-ES,ES,30,0.7381,0.0437,0.6944,106.29320276497695
S016,G_CARM,G_CARM-AS,AS,10,0.7698,0.0119,0.7579,101.57012798522234
S016,G_CARM,G_CARM-AS,AS,15,0.7421,0.0397,0.7024,105.6520501138952
S016,G_CARM,G_CARM-AS,AS,20,0.7738,0.0079,0.7659,101.03146624885756
S016,G_CARM,G_CARM-AS,AS,25,0.754,0.0278,0.7262,103.82814651611127
S016,G_CARM,G_CARM-AS,AS,30,0.7778,0.004,0.7738,100.51692943913156
