k,Winner_Model,Winner_Method,Avg_Accuracy,Second_Best,Advantage
10,Adaptive ARNN,GS,0.8412698412698413,0.8341269841269842,0.0071428571428571175
15,Adaptive ARNN,GS,0.8527777777777776,0.8337301587301587,0.01904761904761898
20,Adaptive ARNN,GS,0.8587301587301587,0.8484126984126984,0.01031746031746028
25,Adaptive ARNN,GS,0.8543650793650794,0.8535714285714286,0.0007936507936507908
30,Adaptive ARNN,GS,0.8507936507936508,0.85,0.0007936507936507908
