subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity
S001,252,64,0.876984126984127,0.020234204419019002,0.835707502374169,0.034705121965093254,0.7857142857142857,0.0291605921759902,0.8098765432098766,0.03103655577771981,0.9200680272108843,0.02409067782875521,0.9226190476190476,0.016835875742536838
S002,252,64,0.7222222222222222,0.04383079768725106,0.47712418300653586,0.33974356649325554,0.2738095238095238,0.19849204762539366,0.347631352282515,0.2500784158887119,0.6539115646258503,0.08671176500985352,0.9464285714285715,0.03857583749052298
S005,252,64,0.8373015873015873,0.029695693545824915,0.8587394411955817,0.03310602452027788,0.6190476190476191,0.1314923930617531,0.7093518060366154,0.08036747081535436,0.8544855442176872,0.042940335129225855,0.9464285714285715,0.025253813613805284
S006,252,64,0.7380952380952381,0.00972019739199675,0.6515873015873015,0.06610687118399618,0.5238095238095238,0.1378075821760741,0.5627384028546819,0.052493096310813774,0.7530824829931974,0.029562698850462796,0.8452380952380952,0.08290707307847693
S007,252,64,0.8928571428571429,0.025717224993681995,0.9009661835748792,0.040625333796024565,0.7619047619047619,0.044543540318737376,0.8255404725992962,0.0428487529863408,0.9387755102040817,0.01763559111560899,0.9583333333333334,0.016835875742536838
S008,252,64,0.8928571428571428,0.05050762722761057,0.9235517568850903,0.08330864102265313,0.75,0.14580296087995112,0.8168350168350168,0.09325566073385473,0.945578231292517,0.02722914725142524,0.9642857142857143,0.03857583749052298
S011,252,64,0.8452380952380952,0.033671751485073675,0.8355555555555555,0.05840579669371497,0.6666666666666666,0.07338588098772593,0.7403414195867025,0.06210280448292369,0.8301445578231292,0.05724264069866223,0.9345238095238096,0.02227177015936871
S014,252,64,0.8095238095238096,0.0291605921759902,0.7969322344322345,0.07751021455375107,0.6071428571428572,0.16235930591649828,0.6682041922460041,0.09307022211146408,0.7882653061224488,0.009893772345425279,0.9107142857142856,0.0635540372144721
S015,252,64,0.8373015873015873,0.020234204419018968,0.7528735632183908,0.02944239914128259,0.7619047619047619,0.033671751485073675,0.7573099415204677,0.030938820696977752,0.8626700680272109,0.03798556095951027,0.875,0.014580296087995147
S016,252,64,0.7301587301587302,0.014847846772912463,0.7492877492877493,0.09926638968766009,0.2976190476190476,0.016835875742536865,0.42381894089211164,0.01705618042164347,0.6843112244897959,0.022840775541774296,0.9464285714285715,0.025253813613805232
