subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,10,0.7420634920634921,0.04794859513331181,0.6995169082125604,0.10945840800894469,0.46428571428571436,0.23328473740792174,0.5093531665539779,0.17555533513717556,0.7336309523809522,0.07561156879228667,0.8809523809523809,0.07192289269996767,0.8293650793650794,0.08730158730158732,10.526315789473687
S001,ES,15,15,0.7698412698412698,0.04383079768725102,0.6755555555555555,0.06562143582325956,0.5833333333333334,0.1104002201844727,0.6238421955403087,0.09120387602999165,0.7755102040816326,0.05513785369325364,0.8630952380952381,0.022271770159368716,0.8293650793650794,0.059523809523809645,7.17703349282298
S001,ES,20,20,0.7420634920634921,0.014847846772912454,0.6674382716049383,0.05478938418542202,0.4761904761904761,0.07338588098772589,0.5490118577075099,0.03531305904220087,0.695578231292517,0.049109443507081914,0.875,0.05050762722761051,0.8293650793650794,0.08730158730158732,10.526315789473687
S001,ES,25,25,0.75,0.009720197391996704,0.6455908289241622,0.03955318914312557,0.5714285714285714,0.05050762722761051,0.6028860028860029,0.014541774998989223,0.7272534013605442,0.03153969625196707,0.8392857142857143,0.03857583749052299,0.8293650793650794,0.07936507936507942,9.569377990430628
S001,ES,30,30,0.7579365079365079,0.036800073394824225,0.6338638373121132,0.048258531752646515,0.6428571428571429,0.07715167498104597,0.6377405838990836,0.06111287935000693,0.7450042517006802,0.0844531339481777,0.8154761904761904,0.02227177015936871,0.8293650793650794,0.07142857142857151,8.612440191387568
S001,AS,10,10,0.746031746031746,0.01122391716169119,0.6574074074074074,0.050171174756089135,0.5238095238095238,0.08417937871268423,0.5758579043811428,0.033126762262536726,0.776360544217687,0.04889363353163637,0.8571428571428571,0.052570005156713374,0.8293650793650794,0.08333333333333337,10.047846889952156
S001,AS,15,15,0.8214285714285715,0.04236935814298138,0.7813202878992352,0.05655959595614766,0.6428571428571428,0.10514001031342675,0.7023196136671314,0.07979897649881924,0.8118622448979592,0.0632396707168922,0.9107142857142857,0.025253813613805284,0.8293650793650794,0.007936507936507908,0.9569377990430586
S001,AS,20,20,0.7420634920634921,0.059391387091649844,0.628701383087348,0.08780437081592603,0.511904761904762,0.14964053678543493,0.5611389623547678,0.12506209077312286,0.6624149659863946,0.12593182862349098,0.8571428571428572,0.0145802960879951,0.8293650793650794,0.08730158730158732,10.526315789473687
S001,AS,25,25,0.7619047619047619,0.025717224993681995,0.6621773288439955,0.05507449672900248,0.5952380952380952,0.03367175148507373,0.6254545454545454,0.03142177308318964,0.7538265306122449,0.03579391632755683,0.8452380952380952,0.03669294049386296,0.8293650793650794,0.06746031746031755,8.13397129186604
S001,AS,30,30,0.75,0.05411976863883274,0.6866666666666666,0.09672412085697937,0.46428571428571425,0.1543033499620919,0.5417714884696018,0.12393862868501519,0.6782525510204082,0.1427339517581071,0.8928571428571429,0.0437408882639853,0.8293650793650794,0.07936507936507942,9.569377990430628
