subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S011,ES,25,25,0.8174603174603176,0.020234204419018968,0.7717391304347826,0.03868506613054824,0.6428571428571429,0.029160592175990246,0.7013574660633485,0.03265265536677637,0.8183460884353742,0.008300349917242603,0.9047619047619048,0.016835875742536838,0.7976190476190476,-0.019841269841269993,-2.4875621890547457
S011,ES,30,30,0.8134920634920636,0.014847846772912463,0.8011111111111111,0.057756406303853466,0.5952380952380952,0.04454354031873742,0.6799175097985598,0.022931914274734316,0.8150510204081632,0.022840775541774307,0.9226190476190476,0.033671751485073675,0.7976190476190476,-0.01587301587301604,-1.9900497512438018
S011,AS,10,10,0.7698412698412698,0.005611958580845648,0.7072829131652661,0.04999038738816451,0.5476190476190476,0.07338588098772592,0.6109599395313682,0.02658407140130138,0.8127125850340137,0.02414127477309245,0.880952380952381,0.04454354031873743,0.7976190476190476,0.02777777777777779,3.4825870646766184
S011,AS,15,15,0.7857142857142857,0.025717224993681995,0.7655122655122654,0.13168920031868073,0.5833333333333334,0.10240863413145984,0.6426155161518159,0.01670080272135026,0.8095238095238096,0.007587826657132143,0.8869047619047619,0.08908708063747475,0.7976190476190476,0.011904761904761862,1.4925373134328306
S011,AS,20,20,0.8095238095238094,0.025717224993681977,0.7656142167011732,0.050004899500423465,0.619047619047619,0.04454354031873743,0.6840325873939319,0.042750108747229426,0.8128188775510203,0.04052714977614643,0.9047619047619048,0.02227177015936871,0.7976190476190476,-0.011904761904761862,-1.4925373134328306
S011,AS,25,25,0.8214285714285715,0.0291605921759902,0.7608024691358025,0.05296605648682259,0.6785714285714285,0.05050762722761057,0.7167832167832168,0.047685949989461004,0.8343962585034013,0.02877485874670659,0.8928571428571429,0.025253813613805284,0.7976190476190476,-0.023809523809523947,-2.985074626865689
S011,AS,30,30,0.8134920634920634,0.029695693545824915,0.7387403993855607,0.018799031947478985,0.6785714285714285,0.11664236870396084,0.7029623489946027,0.06906245450661404,0.8319515306122449,0.03949535871759936,0.8809523809523809,0.01683587574253689,0.7976190476190476,-0.015873015873015817,-1.990049751243774
S014,ES,10,10,0.8253968253968255,0.014847846772912463,0.7945194069631851,0.04985506734292099,0.6547619047619048,0.08908708063747481,0.7113713525074409,0.04199438645560671,0.8622448979591838,0.03753555859582189,0.9107142857142856,0.038575837490523,0.8809523809523809,0.05555555555555547,6.306306306306296
S014,ES,15,15,0.8492063492063492,0.024461960329241975,0.8368702553485162,0.02779679274076145,0.6785714285714285,0.05832118435198045,0.7488892993094675,0.04654195203537659,0.8794642857142856,0.008016457327791144,0.9345238095238096,0.008417937871268393,0.8809523809523809,0.031746031746031744,3.6036036036036037
S014,ES,20,20,0.8650793650793651,0.022447834323382432,0.790636446886447,0.02231937390750146,0.8095238095238096,0.07338588098772592,0.7985008818342152,0.04113073679018988,0.9058248299319729,0.023428761174142894,0.8928571428571428,0.0145802960879951,0.8809523809523809,0.015873015873015817,1.8018018018017956
S014,ES,25,25,0.8412698412698413,0.005611958580845596,0.7954014195248417,0.037943620540230164,0.7142857142857143,0.07715167498104593,0.7482530187216131,0.024458463533289492,0.8807397959183673,0.01749666525812264,0.9047619047619048,0.03367175148507373,0.8809523809523809,0.03968253968253965,4.504504504504501
S014,ES,30,30,0.884920634920635,0.011223917161691244,0.8602098950524737,0.03770116002444015,0.7857142857142857,0.05050762722761051,0.8193625017037599,0.02048354428205913,0.8941326530612245,0.016278378849617605,0.9345238095238096,0.02227177015936871,0.8809523809523809,-0.003968253968254065,-0.45045045045046145
S014,AS,10,10,0.8015873015873015,0.020234204419018968,0.7253204312027841,0.02873292461791529,0.6666666666666666,0.14964053678543493,0.68205395090641,0.07550453370277617,0.8553358843537415,0.025444128570917893,0.869047619047619,0.04454354031873743,0.8809523809523809,0.07936507936507942,9.009009009009015
S014,AS,15,15,0.8293650793650794,0.022447834323382432,0.7541081311196254,0.039442080392212045,0.7261904761904763,0.044543540318737376,0.7391852988675233,0.034852208785718736,0.8644770408163266,0.015714765403713145,0.8809523809523809,0.02227177015936871,0.8809523809523809,0.051587301587301515,5.8558558558558484
S014,AS,20,20,0.876984126984127,0.005611958580845596,0.8169384057971015,0.037991899127127915,0.8214285714285715,0.07715167498104596,0.815077755240027,0.021879617766412257,0.9164540816326531,0.01723316090639694,0.9047619047619048,0.03035130662852846,0.8809523809523809,0.003968253968253954,0.4504504504504489
S014,AS,25,25,0.873015873015873,0.029695693545824915,0.794218200100553,0.06519098830438302,0.8452380952380952,0.06070261325705699,0.8163940729754596,0.04120276732136799,0.9326105442176872,0.010181913277915006,0.8869047619047619,0.04208968935634212,0.8809523809523809,0.007936507936507908,0.9009009009008978
S014,AS,30,30,0.8571428571428571,0.029160592175990246,0.8040194572452637,0.1061911093473903,0.7857142857142857,0.0583211843519804,0.7873630808255506,0.03016158620647144,0.888499149659864,0.015743497058387942,0.8928571428571428,0.06355403721447207,0.8809523809523809,0.023809523809523836,2.7027027027027057
S015,ES,10,10,0.8492063492063492,0.01122391716169119,0.7756410256410257,0.02398498324855091,0.7738095238095238,0.060702613257056934,0.7728395061728395,0.024443197374349742,0.8931760204081632,0.02313126413689045,0.8869047619047619,0.022271770159368716,0.9007936507936507,0.051587301587301515,5.726872246696027
S015,ES,15,15,0.9087301587301587,0.045935860725358026,0.8952020202020202,0.11995614016680425,0.8452380952380952,0.016835875742536838,0.8648591845313157,0.05732814209603919,0.9345238095238096,0.044619567945352955,0.9404761904761906,0.07192289269996767,0.9007936507936507,-0.00793650793650802,-0.8810572687224763
S015,ES,20,20,0.8809523809523809,0.0194403947839935,0.8065476190476191,0.015175653314264237,0.8452380952380952,0.06070261325705699,0.8246031746031747,0.03312482024557014,0.9181547619047619,0.03531855791708647,0.8988095238095238,0.008417937871268393,0.9007936507936507,0.01984126984126977,2.20264317180616
S015,ES,25,25,0.8888888888888888,0.04489566864676492,0.8525641025641025,0.10688033333675043,0.8214285714285715,0.05050762722761052,0.8336182336182336,0.06390409287817239,0.9312287414965986,0.010337186365998466,0.9226190476190476,0.05892556509887898,0.9007936507936507,0.011904761904761862,1.321585903083696
